PB/R9/b-PB/R[4-8]/s
PB/L9/b-PB/L[4-8]/s
PB/L2/b-PB/L[1-9]/s
PB/R7/b-PB/R[1-9]/s
PB/L7/b-PB/L[1-9]/s
PB/R2/b-PB/R[1-9]/s
PB/L3/b-PB/L[1-9]/s
PB/R6/b-PB/R[1-9]/s
PB/L6/b-PB/L[1-9]/s
PB/R3/b-PB/R[1-9]/s
PB/L4/b-PB/L[1-9]/s
PB/R5/b-PB/R[1-9]/s
PB/L5/b-PB/L[1-9]/s
PB/R4/b-PB/R[1-9]/s
PB/R8/b-PB/R[1-9]/s
PB/L1|L9/b-PB/L[1-9]/s
PB/L8/b-PB/L[1-9]/s
PB/R1|R9/b-PB/R[1-9]/s
